ID,Developer
1,Valve
2,PUBG Corporation
3,Funcom
4,Marcel Zurawka
5,Julius Krüger
6,Grinding Gear Games
7,Facepunch Studios
8,Ubisoft Montreal
9,FromSoftware Inc.
10,Sky
11,AestheticSpartan
12,O'Brian
13,Rockstar North
14,NetEase Games
15,Respawn
16,Larian Studios
17,SHIFT UP Corporation
18,Treyarch
19,Raven Software
20,Beenox
21,High Moon Studios
22,Activision Shanghai
23,Sledgehammer Games
24,Infinity Ward
25,Demonware
26,Toys for Bob
27,Gaijin Entertainment
28,EA Canada
29,EA Romania
30,Wallpaper Engine Team
31,Sports Interactive
32,Arrowhead Game Studios
33,Bohemia Interactive
34,Team Jade
35,ConcernedApe
36,CenterPoint Gaming
37,Behaviour Interactive Inc.
38,Paradox Development Studio
39,semiwork
40,Digital Extremes
41,RobTop Games
42,Studio Wildcard
43,Instinct Games
44,Efecto Studios
45,Virtual Basement LLC
46,Rockstar Games
47,Maxis
48,Sandfall Interactive
49,VRChat Inc.
50,SCS Software
51,Coffee Stain Studios
52,CD PROJEKT RED
53,Ludeon Studios
54,Giants Software
55,Firaxis Games
56,Aspyr (Mac)
57,Aspyr (Linux)
58,The Indie Stone
59,Bethesda Game Studios
60,Clicker Company
61,Re-Logic
62,The Fun Pimps
63,TML Team
64,Starry Studio
65,CREATIVE ASSEMBLY
66,Feral Interactive
67,Bungie
68,TVGS
69,Wube Software LTD.
70,Iron Gate AB
71,tobyfox
72,Blizzard Entertainment Inc.
73,TaleWorlds Entertainment
74,Embark Studios
75,Grove Street Games
76,Klei Entertainment
77,Psyonix LLC
78,BeamNG
79,Leppsoft
80,OVERKILL - a Starbreeze Studio.
81,World's Edge
82,Forgotten Empires
83,Tantalus Media
84,Wicked Witch
85,CaptureAge
86,Square Enix
87,Nicalis Inc.
88,Edmund McMillen
89,Paradox Tinto
90,Playground Games
91,KURO GAMES
92,Pocketpair
93,Visual Concepts
94,ZeniMax Online Studios
95,LocalThunk
96,NCSOFT
97,24 Entertainment
98,KONAMI
99,Hello Games
100,Keen Games GmbH
101,Kinetic Games
102,Blue Mammoth Games
103,Pearl Abyss
104,Offworld
105,OBS Project
106,Singularity 6 Corporation
107,Smilegate RPG
108,Team PEAK
109,Sloclap
110,Gamepires
111,DICE
112,Steel Balalaika
113,Cygames Inc.
114,Crytek
115,Chrono Studio
116,Ninja Kiwi
117,Front Studio
118,Warhorse Studios
119,Endnight Games Ltd
120,ATLUS
121,SEGA
122,Perfect World
123,Fatshark
124,Saber Interactive
125,KOJIMA PRODUCTIONS
126,Amazing Seasun Games
127,CAPCOM Co. Ltd.
128,EXBO
129,Frontier Developments
130,Game Science
131,VOID Interactive
132,ProjectMoon
133,FireFly Studios
134,Kunos Simulazioni