ID,Language
1,Czech
2,Danish
3,Dutch
4,English
5,Finnish
6,French
7,German
8,Hungarian
9,Italian
10,Japanese
11,Korean
12,Norwegian
13,Polish
14,Portuguese - Portugal
15,Portuguese - Brazil
16,Romanian
17,Russian
18,Simplified Chinese
19,Spanish - Spain
20,Swedish
21,Thai
22,Traditional Chinese
23,Turkish
24,Bulgarian
25,Ukrainian
26,Greek
27,Spanish - Latin America
28,Vietnamese
29,Indonesian
30,Arabic
31,Persian
47,Catalan
48,Lithuanian
49,Serbian
50,Slovak
51,Slovenian
52,Belarusian
53,Kazakh
54,Georgian
55,Hindi
56,Malay
57,Armenian
58,Basque
59,Estonian
60,Filipino
61,Galician
62,Hebrew